Evolution parameters:
Namespace(mutation_prob=0.2, crossover_prob=0.6, population_size=20, generations_max='20', simulations_per_indiv=6, len_individual=6, food_weight=0.001, mutation_copies=3, tournament_k=7, resume_from_log=None, random_seed=True, n_best_to_return=None, debug=True)

Default simulation parameters:
>FISH_MOMENTUM_CONSTANT: 0.75
>FISH_FEAR_MOMENTUM_CONSTANT: 0.825
>ALIGNMENT_CONSTANT: 0.25
>COHESION_CONSTANT: 0.05
>SEPARATION_CONSTANT: 20
>SHARK_REPULSION_CONSTANT: 8
>FOOD_ATTRACTION_CONSTANT: 0.25
>WIDTH: 400
>HEIGHT: 400
>NUM_STEPS: 1000
>NUM_FISH: 200
>NUM_SHARKS: 1
>NUM_FOOD: 50
>FISH_SENSE_DIST: 25
>SHARK_SENSE_DIST: 100
>FISH_MAX_SPEED: 4
>SHARK_MAX_SPEED: 7
>SHARK_KILL_RADIUS: 10
>SHARK_MOMENTUM_CONSTANT: 1
>SHARK_SEARCH_CONSTANT: 2
>SHARK_HUNT_CONSTANT: 40
>FISH_DIM_ELLIPSE_X: 5
>FISH_DIM_ELLIPSE_Y: 9
>FISH_FEAR_CONSTANT: 3
>SHARK_DIM_ELLIPSE_X: 30
>SHARK_DIM_ELLIPSE_Y: 50
>SHARK_BLIND_ANGLE_DEG: 40
>WALL: 0
>LOG_FILEPATH: logs/log-default-simulation_2023-06-19_22-27-07.txt

Starting computation at 2023-06-19 22:27:09.

o [0.87671, 0.68207, 0.57327, 0.45030, 6.97979, 0.22682, ]  114.01533
o [0.87671, 0.85202, 0.57327, 0.35868, 6.97979, 0.22682, ]  114.88450
o [0.51843, 0.40946, 0.77387, 3.46703, 2.93916, 9.16389, ]  115.11833
o [0.51225, 0.39909, 0.52973, 0.35868, 0.03969, 0.22682, ]  116.01300
o [0.87671, 0.85202, 0.57327, 0.47787, 12.06271, 0.22682, ]  116.23217
o [0.39250, 0.85202, 0.95355, 1.70598, 0.25540, 0.50088, ]  116.66633
o [1.00000, 0.73341, 0.79399, 1.38560, 6.97979, 0.66932, ]  116.67817
o [0.51843, 0.40946, 0.56588, 0.35868, 2.93916, 0.22682, ]  117.51183
o [0.87671, 0.85202, 0.57327, 0.20909, 6.97979, 0.22682, ]  117.55583
o [0.64301, 0.85202, 0.46070, 0.35868, 5.23490, 0.22682, ]  118.69733
o [0.64647, 0.77583, 0.41795, 9.62800, 4.82379, 3.93449, ]  119.31733
o [0.51843, 0.40946, 0.77387, 0.35868, 3.32494, 0.22661, ]  119.66100
o [0.87671, 0.34332, 0.44517, 0.35868, 6.97979, 0.15116, ]  119.86100
o [0.80683, 0.85202, 0.32946, 0.35868, 6.97979, 0.22682, ]  119.87933
o [0.51225, 0.39909, 0.52973, 0.91031, 0.06365, 0.66932, ]  120.48117
o [0.87671, 0.40946, 0.57327, 0.35868, 6.97979, 9.16389, ]  121.10800
